Holder,Shares,Date Reported,% Out,Value,ABV
"AllianceBernstein, L.P.",522151,2021-09-29,0.09820000000000001,10677987,CFBK
"Ancora Advisors, Llc",221644,2021-09-29,0.0417,4532619,CFBK
"Boothbay Fund Management, LLC",141475,2021-09-29,0.026600000000000002,2893163,CFBK
"Vanguard Group, Inc. (The)",138621,2021-09-29,0.026099999999999998,2834799,CFBK
Fifth Third Bancorp,114914,2021-09-29,0.0216,2349991,CFBK
First Manhattan Company,90186,2021-09-29,0.017,1844303,CFBK
"BHZ Capital Management, LP",66303,2021-09-29,0.0125,1355896,CFBK
Eidelman Virant Capital,65500,2021-09-29,0.0123,1339475,CFBK
Stilwell Value LLC,49083,2021-09-29,0.0092,1003747,CFBK
McDonald Partners LLC,46849,2021-09-29,0.0088,958062,CFBK
