Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",7190847,2021-09-29,0.018600000000000002,349475164,AGR
Blackrock Inc.,5354966,2021-12-30,0.0138,267105704,AGR
"Wellington Management Group, LLP",5221716,2021-12-30,0.013500000000000002,260459194,AGR
Royal Bank of Canada,3751122,2021-09-29,0.0097,182304529,AGR
Baillie Gifford and Company,2738917,2021-12-30,0.0070999999999999995,136617179,AGR
First Trust Advisors Lp,1428564,2021-12-30,0.0037,71256772,AGR
Norges Bank Investment Management,1390248,2020-12-30,0.0036,63186771,AGR
State Street Corporation,1186100,2021-09-29,0.0031,57644460,AGR
Robeco Schweiz AG,1036096,2021-12-30,0.0027,51680468,AGR
Morgan Stanley,926222,2021-09-29,0.0024,45014389,AGR
