Holder,Shares,Date Reported,% Out,Value,ABV
Parametric Portfolio Associates,3873497,2021-09-29,0.0454,23473391,AWP
Wells Fargo & Company,1114945,2021-09-29,0.0131,6756566,AWP
Morgan Stanley,1080272,2021-09-29,0.0126,6546448,AWP
UBS Group AG,726958,2021-09-29,0.0085,4405365,AWP
Royal Bank of Canada,609582,2021-09-29,0.0070999999999999995,3694066,AWP
"Advisors Asset Management, Inc.",593710,2021-09-29,0.006999999999999999,3597882,AWP
Bank of America Corporation,488059,2021-09-29,0.005699999999999999,2957637,AWP
"Advisor Group, Inc.",435845,2021-09-29,0.0051,2641220,AWP
Cohen & Steers Inc.,325232,2021-09-29,0.0038,1970905,AWP
"Ameriprise Financial, Inc.",170553,2021-09-29,0.002,1033551,AWP
