Holder,Shares,Date Reported,% Out,Value,ABV
"FMR, LLC",4504286,2021-12-30,0.08039999999999999,710731287,WIX
Blackrock Inc.,4282050,2021-12-30,0.0764,675664669,WIX
Flossbach von Storch AG,4013697,2021-12-30,0.0716,633321249,WIX
Baillie Gifford and Company,3264938,2021-12-30,0.0583,515174567,WIX
"Principal Financial Group, Inc.",2936353,2021-12-30,0.0524,463327139,WIX
"Jackson Square Partners, Llc",2332072,2021-12-30,0.0416,367977640,WIX
Steadfast Capital Management Lp,1683635,2021-12-30,0.0301,265660766,WIX
Marcho Partners LLP,1519150,2021-12-30,0.0271,239706678,WIX
State Street Corporation,1493406,2021-12-30,0.026699999999999998,235644532,WIX
"Dorsey Asset Management, LLC",1485198,2021-12-30,0.0265,234349392,WIX
