Holder,Shares,Date Reported,% Out,Value,ABV
Janney Montgomery Scott LLC,339196,2021-09-29,0.09699999999999999,3817650,TAYD
"Oppenheimer & Close, Inc.",63750,2021-09-29,0.0182,717506,TAYD
"Renaissance Technologies, LLC",55762,2021-09-29,0.0159,627601,TAYD
"Vanguard Group, Inc. (The)",37645,2021-09-29,0.0108,423694,TAYD
Courier Capital Coporation,27500,2021-09-29,0.0079,309512,TAYD
Elkhorn Partners Limited Partnership,23702,2021-09-29,0.0068000000000000005,266766,TAYD
"Johnson Bixby & Associates, LLC",20000,2021-09-29,0.005699999999999999,225100,TAYD
"Perritt Capital Management, Inc.",16211,2021-09-29,0.0046,182454,TAYD
Blackrock Inc.,11442,2021-09-29,0.0033,128779,TAYD
Morgan Stanley,6129,2021-09-29,0.0018,68981,TAYD
