0,1,ABV
Net Assets,,CMSC
NAV,,CMSC
PE Ratio (TTM),,CMSC
Yield,,CMSC
YTD Daily Total Return,,CMSC
Beta (5Y Monthly),,CMSC
Expense Ratio (net),,CMSC
Inception Date,,CMSC
