Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,18614283,2021-09-29,0.1409,217787111,CYH
"Franklin Resources, Inc.",10503179,2021-09-29,0.0795,122887194,CYH
"Vanguard Group, Inc. (The)",9357421,2021-09-29,0.0708,109481825,CYH
"Eversept Partners, LP",5988163,2021-09-29,0.0453,70061507,CYH
State Street Corporation,4096383,2021-09-29,0.031,47927681,CYH
"Shaw D.E. & Co., Inc.",3431509,2021-09-29,0.026000000000000002,40148655,CYH
Dimensional Fund Advisors LP,3094184,2021-09-29,0.023399999999999997,36201952,CYH
"Principal Financial Group, Inc.",2776855,2021-09-29,0.021,32489203,CYH
"Soviero Asset Management, LP",2599900,2021-09-29,0.0197,30418830,CYH
Royce & Associates LP,2158123,2021-09-29,0.0163,25250039,CYH
