Holder,Shares,Date Reported,% Out,Value,ABV
Cowen Prime Advisors LLC,698533,2021-09-29,0.09230000000000001,3988623,HTGM
Samjo Capital LLC,660000,2021-09-29,0.0872,3768600,HTGM
AIGH Capital Management LLC,612000,2021-09-29,0.0809,3494520,HTGM
"Nantahala Capital Management, LLC",347171,2021-09-29,0.045899999999999996,1982346,HTGM
"Vanguard Group, Inc. (The)",246066,2021-09-29,0.0325,1405036,HTGM
"Worth Venture Partners, LLC",143135,2021-09-29,0.0189,817300,HTGM
"Renaissance Technologies, LLC",55916,2021-09-29,0.0074,319280,HTGM
"Geode Capital Management, LLC",46039,2021-09-29,0.0060999999999999995,262882,HTGM
Millennium Management LLC,15722,2021-09-29,0.0021,89772,HTGM
Blackrock Inc.,15529,2021-09-29,0.0021,88670,HTGM
