Holder,Shares,Date Reported,% Out,Value,ABV
"Weitz Investment Management, Inc.",630000,2021-09-29,0.0724,25584300,CCRD
Janus Henderson Group PLC,545103,2021-09-29,0.06269999999999999,22136632,CCRD
Blackrock Inc.,451985,2021-09-29,0.0519,18355110,CCRD
"Vanguard Group, Inc. (The)",321946,2021-09-29,0.037000000000000005,13074227,CCRD
Investors Asset Management of Georgia,278125,2021-09-29,0.032,11294656,CCRD
"Apis Capital Advisors, LLC",234000,2021-09-29,0.0269,9502740,CCRD
"Renaissance Technologies, LLC",222197,2021-09-29,0.0255,9023420,CCRD
"Manatuck Hill Partners, LLC",155700,2021-09-29,0.0179,6322977,CCRD
"FMR, LLC",136072,2021-09-29,0.015600000000000001,5525883,CCRD
State Street Corporation,129103,2021-09-29,0.0148,5242872,CCRD
