Holder,Shares,Date Reported,% Out,Value,ABV
Heartland Advisors Inc.,1192310,2021-09-29,0.0902,7928861,PESI
"Punch & Associates Investment Management, Inc.",448250,2021-09-29,0.0339,2980862,PESI
"Vanguard Group, Inc. (The)",404641,2021-09-29,0.030600000000000002,2690862,PESI
Blackrock Inc.,302850,2021-09-29,0.0229,2013952,PESI
"Ancora Advisors, Llc",176165,2021-09-29,0.013300000000000001,1171497,PESI
"Renaissance Technologies, LLC",165196,2021-09-29,0.0125,1098553,PESI
"Perritt Capital Management, Inc.",127100,2021-09-29,0.0096,845215,PESI
"ARS Investment Partners, LLC",70000,2021-09-29,0.0053,465500,PESI
Dimensional Fund Advisors LP,67318,2021-09-29,0.0051,447664,PESI
State Street Corporation,58035,2021-09-29,0.0044,385932,PESI
