Holder,Shares,Date Reported,% Out,Value,ABV
"Hennion & Walsh Asset Management, Inc.",235293,2021-09-29,0.033,3204690,CEV
"Guggenheim Capital, LLC",116612,2021-09-29,0.0163,1588255,CEV
Bank of America Corporation,109615,2021-09-29,0.0154,1492956,CEV
"Rivernorth Capital Management, Llc",98701,2021-09-29,0.0138,1344307,CEV
Morgan Stanley,88199,2021-09-29,0.0124,1201270,CEV
UBS Group AG,85046,2021-09-29,0.011899999999999999,1158326,CEV
First Foundation Advisors,80210,2021-09-29,0.011200000000000002,1092460,CEV
Wells Fargo & Company,66002,2021-09-29,0.009300000000000001,898947,CEV
Matisse Capital,57800,2021-09-29,0.008100000000000001,787236,CEV
"Robinson Capital Management, LLC",56632,2021-09-29,0.0079,771327,CEV
