Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",6030333,2021-09-29,0.037000000000000005,2604500,AUMN
"ETF Managers Group, LLC",4704330,2021-09-29,0.028900000000000002,2031800,AUMN
"Mirae Asset Global Investments Co., Ltd.",2506876,2021-09-29,0.0154,1082719,AUMN
"Geode Capital Management, LLC",818174,2021-09-29,0.005,353369,AUMN
"Bridgeway Capital Management, Inc.",450000,2021-09-29,0.0028000000000000004,194355,AUMN
Citadel Advisors LLC,264884,2021-09-29,0.0016,114403,AUMN
"Commonwealth Equity Services, LLC",248389,2021-12-30,0.0015,86762,AUMN
Northern Trust Corporation,182257,2021-09-29,0.0011,78716,AUMN
State Street Corporation,157379,2021-09-29,0.001,67971,AUMN
Blackrock Inc.,85284,2021-09-29,0.0005,36834,AUMN
