Holder,Shares,Date Reported,% Out,Value,ABV
Penserra Capital Management LLC,1338606,2021-09-29,0.0101,8406445,PHK
Cohen & Steers Inc.,1145989,2021-09-29,0.0087,7196810,PHK
Invesco Ltd.,961496,2021-09-29,0.0073,6038194,PHK
"Advisor Group, Inc.",738634,2021-09-29,0.005600000000000001,4638621,PHK
"Commonwealth Equity Services, LLC",713155,2021-09-29,0.0054,4478613,PHK
Cambridge Investment Research Advisors Inc.,592510,2021-09-29,0.0045000000000000005,3720962,PHK
Morgan Stanley,544656,2021-09-29,0.0040999999999999995,3420439,PHK
"Guggenheim Capital, LLC",421074,2021-09-29,0.0032,2644344,PHK
Sigma Planning Corp,325090,2021-09-29,0.0025,2041565,PHK
Envestnet Asset Management,252042,2021-09-29,0.0019,1582823,PHK
