Holder,Shares,Date Reported,% Out,Value,ABV
"Armistice Capital, LLC",2035459,2021-09-29,0.04190000000000001,1750901,KTRA
"Vanguard Group, Inc. (The)",1125953,2021-09-29,0.0232,968544,KTRA
"Nantahala Capital Management, LLC",663279,2021-09-29,0.0137,570552,KTRA
"Boothbay Fund Management, LLC",468589,2021-09-29,0.0097,403080,KTRA
"Geode Capital Management, LLC",292064,2021-09-29,0.006,251233,KTRA
swisspartners Ltd.,275000,2021-09-29,0.005699999999999999,236555,KTRA
State Street Corporation,116074,2021-09-29,0.0024,99846,KTRA
Blackrock Inc.,74136,2021-09-29,0.0015,63771,KTRA
Golden State Equity Partners,64220,2021-09-29,0.0013,55242,KTRA
"Two Sigma Investments, LP",54264,2021-09-29,0.0011,46677,KTRA
