Holder,Shares,Date Reported,% Out,Value,ABV
M&G Investment Management Ltd,1320000,2021-09-29,0.0102,7933200,MESO
Blackrock Inc.,807470,2021-09-29,0.0062,4852894,MESO
"Hennion & Walsh Asset Management, Inc.",390407,2021-09-29,0.003,2346346,MESO
"Penbrook Management, LLC",246450,2021-09-29,0.0019,1481164,MESO
Morgan Stanley,213673,2021-09-29,0.0016,1284174,MESO
Jacob Asset Management of New York LLC,172400,2021-09-29,0.0013,1036124,MESO
"Goldman Sachs Group, Inc.",55325,2021-09-29,0.0004,332503,MESO
Citadel Advisors LLC,49738,2021-09-29,0.0004,298925,MESO
Bank of America Corporation,40831,2021-09-29,0.0003,245394,MESO
Cetera Advisor Networks LLC,36500,2021-09-29,0.0003,219365,MESO
