Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,17879030,2021-12-30,0.1306,192914733,VRM
Baillie Gifford and Company,11864978,2021-12-30,0.0867,128023112,VRM
"Vanguard Group, Inc. (The)",9785681,2021-12-30,0.07150000000000001,105587497,VRM
Spyglass Capital Management LLC,8377527,2021-12-30,0.061200000000000004,90393516,VRM
Janus Henderson Group PLC,7266177,2021-12-30,0.053099999999999994,78402049,VRM
"Davis Selected Advisers, LP",7018989,2021-12-30,0.0513,75734891,VRM
"Jackson Square Partners, Llc",6588507,2021-12-30,0.0481,71089990,VRM
ArrowMark Colorado Holdings LLC,4512819,2021-12-30,0.033,48693317,VRM
"Nisa Investment Advisors, L.L.C.",3776968,2021-12-30,0.0276,40753484,VRM
"General Catalyst Group Management, LLC",3051670,2021-12-30,0.0223,32927519,VRM
