Holder,Shares,Date Reported,% Out,Value,ABV
"Portolan Capital Management, LLC",1857937,2021-09-29,0.054299999999999994,19712711,FLL
"Driehaus Capital Management, LLC",1744015,2021-09-29,0.051,18503999,FLL
Blackrock Inc.,1659855,2021-09-29,0.048499999999999995,17611061,FLL
"Vanguard Group, Inc. (The)",1541932,2021-09-29,0.045,16359898,FLL
Wasatch Advisors Inc,1351193,2021-09-29,0.0395,14336157,FLL
"Renaissance Technologies, LLC",1243490,2021-09-29,0.0363,13193428,FLL
"DG Capital Management, LLC",1109634,2021-09-29,0.032400000000000005,11773216,FLL
"RK Capital Management, LLC",1073200,2021-09-29,0.031400000000000004,11386652,FLL
Kettle Hill Capital Management LLC,691376,2021-09-29,0.0202,7335499,FLL
"Gabelli Funds, LLC",594000,2021-09-29,0.0174,6302340,FLL
