Holder,Shares,Date Reported,% Out,Value,ABV
"FMR, LLC",265200,2021-12-30,0.031200000000000002,9746100,GCBC
"Vanguard Group, Inc. (The)",121415,2021-12-30,0.0143,4462001,GCBC
Stifel Financial Corporation,29604,2021-12-30,0.0034999999999999996,1087947,GCBC
"BHZ Capital Management, LP",15094,2021-12-30,0.0018,554704,GCBC
Bank Of New York Mellon Corporation,14334,2021-12-30,0.0017000000000000001,526774,GCBC
Dimensional Fund Advisors LP,13686,2021-12-30,0.0016,502960,GCBC
"Geode Capital Management, LLC",13311,2021-12-30,0.0016,489179,GCBC
683 Capital Management LLC,12178,2021-12-30,0.0014000000000000002,447541,GCBC
"Ergoteles, LLC",10241,2021-12-30,0.0012,376356,GCBC
Blackrock Inc.,10034,2021-12-30,0.0012,368749,GCBC
