Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,13791129,2021-09-29,0.1924,345881515,STAR
"Vanguard Group, Inc. (The)",11244529,2021-09-29,0.1568,282012787,STAR
"FMR, LLC",6197231,2021-09-29,0.0864,155426553,STAR
"Newedge Wealth, LLC",4456134,2021-09-29,0.0622,111759840,STAR
State Street Corporation,2556438,2021-09-29,0.035699999999999996,64115465,STAR
"Nut Tree Capital Management, LP",2000000,2021-09-29,0.0279,50160000,STAR
"Private Management Group, Inc.",1474579,2021-09-29,0.0206,36982441,STAR
"Geode Capital Management, LLC",1429569,2021-09-29,0.0199,35853590,STAR
Citigroup Inc.,1252339,2021-09-29,0.0175,31408662,STAR
UBS Group AG,1150446,2021-09-29,0.016,28853185,STAR
