Holder,Shares,Date Reported,% Out,Value,ABV
"TRV GP III, LLC",6391176,2021-09-29,0.1684,16808792,VYGR
"Armistice Capital, LLC",3716000,2021-09-29,0.09789999999999999,9773080,VYGR
"Vanguard Group, Inc. (The)",2162874,2021-09-29,0.057,5688358,VYGR
Citadel Advisors LLC,982824,2021-09-29,0.0259,2584827,VYGR
Blackrock Inc.,930735,2021-09-29,0.0245,2447833,VYGR
JP Morgan Chase & Company,784003,2021-09-29,0.0207,2061927,VYGR
Acadian Asset Management. LLC,771975,2021-09-29,0.0203,2030294,VYGR
"Federated Hermes, Inc.",719448,2021-09-29,0.019,1892148,VYGR
Morgan Stanley,616988,2021-09-29,0.0163,1622678,VYGR
"EcoR1 Capital, LLC",445992,2021-09-29,0.011699999999999999,1172958,VYGR
