0,1,ABV
Net Assets,,EAI
NAV,,EAI
PE Ratio (TTM),,EAI
Yield,,EAI
YTD Daily Total Return,,EAI
Beta (5Y Monthly),,EAI
Expense Ratio (net),,EAI
Inception Date,,EAI
