0,1,ABV
Net Assets,,ENJ
NAV,,ENJ
PE Ratio (TTM),,ENJ
Yield,,ENJ
YTD Daily Total Return,,ENJ
Beta (5Y Monthly),,ENJ
Expense Ratio (net),,ENJ
Inception Date,,ENJ
