Holder,Shares,Date Reported,% Out,Value,ABV
"FMR, LLC",5356033,2021-09-29,0.15289999999999998,928575441,AYI
"Vanguard Group, Inc. (The)",3299024,2021-09-29,0.0942,571951790,AYI
Blackrock Inc.,2937341,2021-09-29,0.0839,509246809,AYI
JP Morgan Chase & Company,1647467,2021-09-29,0.047,285621353,AYI
Atlanta Capital Management Company LLC,1080347,2021-09-29,0.030899999999999997,187299759,AYI
Generation Investment Management LLP,1040986,2021-09-29,0.0297,180475742,AYI
Bank of Montreal/Can/,1029264,2021-09-29,0.0294,178443499,AYI
State Street Corporation,932742,2021-09-29,0.026600000000000002,161709480,AYI
FIL LTD,921962,2021-09-29,0.0263,159840551,AYI
Lsv Asset Management,908323,2021-09-29,0.0259,157475958,AYI
