Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,14635564,2021-12-30,0.1023,268123532,ABR
"Vanguard Group, Inc. (The)",7332924,2021-12-30,0.0513,134339167,ABR
"Geode Capital Management, LLC",2747948,2021-12-30,0.0192,50342407,ABR
State Street Corporation,2714804,2021-12-30,0.019,49735209,ABR
"Cooperman, Leon G.",2342694,2021-12-30,0.016399999999999998,42918154,ABR
Wasatch Advisors Inc,2107549,2021-12-30,0.0147,38610297,ABR
Northern Trust Corporation,1750238,2021-12-30,0.012199999999999999,32064360,ABR
Morgan Stanley,1571577,2021-12-30,0.011000000000000001,28791290,ABR
"Mirae Asset Global Investments Co., Ltd.",1508879,2021-12-30,0.0106,27642663,ABR
Lsv Asset Management,1308656,2021-12-30,0.0092,23974577,ABR
