Holder,Shares,Date Reported,% Out,Value,ABV
Karpus Management Inc,1332673,2021-09-29,0.0388,35555715,AIO
Morgan Stanley,804689,2021-09-29,0.023399999999999997,21469102,AIO
Bank of America Corporation,551243,2021-09-29,0.0161,14707163,AIO
UBS Group AG,496288,2021-09-29,0.014499999999999999,13240963,AIO
Wells Fargo & Company,351714,2021-09-29,0.0102,9383729,AIO
Royal Bank of Canada,206239,2021-09-29,0.006,5502456,AIO
Parametric Portfolio Associates,178384,2021-09-29,0.0052,4759285,AIO
LPL Financial LLC,145405,2021-09-29,0.0042,3879405,AIO
"Wolverine Asset Management, LLC",125472,2021-09-29,0.0037,3347592,AIO
"Advisors Asset Management, Inc.",124772,2021-09-29,0.0036,3328916,AIO
