Holder,Shares,Date Reported,% Out,Value,ABV
Glazer Capital LLC,1770971,2021-06-29,0.07719999999999999,17449377,LHAA
Soroban Capital Partners LP,1500000,2021-06-29,0.0654,14779500,LHAA
"Light Street Capital Management, LLC",1344475,2021-06-29,0.058600000000000006,13247112,LHAA
"Third Point, LLC",1250000,2021-06-29,0.0545,12316250,LHAA
Nomura Holdings Inc.,1000000,2021-06-29,0.0436,9853000,LHAA
Millennium Management LLC,895230,2021-06-29,0.039,8820701,LHAA
"Apollo Management Holdings, L.P.",801400,2021-06-29,0.0349,7896194,LHAA
"HBK Investments, L.P.",800000,2021-06-29,0.0349,7882400,LHAA
SECURITY BENEFIT LIFE INSURANCE CO,800000,2021-06-29,0.0349,7882400,LHAA
UBS O'Connor LLC,750490,2021-06-29,0.0327,7394577,LHAA
