Holder,Shares,Date Reported,% Out,Value,ABV
"Apollo Management Holdings, L.P.",54581248,2021-09-29,0.2841,3759010549,ATH
"Vanguard Group, Inc. (The)",11892793,2021-09-29,0.061900000000000004,819056653,ATH
Blackrock Inc.,7035092,2021-09-29,0.0366,484506786,ATH
Capital International Investors,5944072,2021-09-29,0.030899999999999997,409368238,ATH
"Wellington Management Group, LLP",4872861,2021-09-29,0.0254,335593937,ATH
Dimensional Fund Advisors LP,4054910,2021-09-29,0.021099999999999997,279261651,ATH
Michigan (State Of) Teachers Retirement System,3902800,2021-09-29,0.0203,268785836,ATH
Pentwater Capital Management Lp,3590000,2021-09-29,0.0187,247243300,ATH
"Neuberger Berman Group, LLC",3099446,2021-09-29,0.0161,213458846,ATH
"Goldman Sachs Group, Inc.",3050095,2021-09-29,0.0159,210060042,ATH
