Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",30985146,2021-09-29,0.1,905385966,DBX
Blackrock Inc.,17802440,2021-09-29,0.0574,520187296,DBX
Pictet Asset Management SA,14288011,2021-09-29,0.0461,417495681,DBX
"Ameriprise Financial, Inc.",12766807,2021-09-29,0.0412,373046100,DBX
"Renaissance Technologies, LLC",9593602,2021-09-29,0.031,280325050,DBX
"Baupost Group, Inc,.(The) LLC",9287500,2021-09-29,0.03,271380750,DBX
First Trust Advisors Lp,7559833,2021-09-29,0.024399999999999998,220898320,DBX
"FMR, LLC",6807362,2021-09-29,0.022000000000000002,198911117,DBX
State Street Corporation,6792512,2021-09-29,0.0219,198477200,DBX
"Geode Capital Management, LLC",5815669,2021-09-29,0.018799999999999997,169933848,DBX
