Holder,Shares,Date Reported,% Out,Value,ABV
"Paulson & Company, Inc.",61930724,2021-09-29,0.3177,46181740,THM
Sprott Inc.,27216520,2021-09-29,0.1396,20295358,THM
"Kopernik Global Investors, LLC",13996753,2021-12-30,0.0718,10283414,THM
"Russell Investments Group, Ltd.",4080473,2021-12-30,0.0209,2997923,THM
SEI Investments Co,452001,2021-09-29,0.0023,337057,THM
"Evoke Wealth, LLC",147500,2021-12-30,0.0008,108368,THM
"Cypress Wealth Services, LLC",129687,2021-12-30,0.0007000000000000001,95281,THM
"Ifp Advisors, Inc",100000,2021-12-30,0.0005,73470,THM
"Renaissance Technologies, LLC",75000,2021-12-30,0.0004,55102,THM
Bank of Montreal/Can/,40975,2021-12-30,0.0002,30104,THM
