Holder,Shares,Date Reported,% Out,Value,ABV
Bank of America Corporation,1435080,2021-09-29,0.044500000000000005,17479274,GLO
Morgan Stanley,1296934,2021-09-29,0.04019999999999999,15796656,GLO
"Advisors Asset Management, Inc.",705259,2021-09-29,0.0219,8590054,GLO
Rockefeller Capital Management L.P.,514041,2021-09-29,0.016,6261019,GLO
"Raymond James Financial Services Advisors, Inc.",264802,2021-09-29,0.008199999999999999,3225288,GLO
"Private Advisor Group, LLC",259793,2021-09-29,0.008100000000000001,3164278,GLO
"Guggenheim Capital, LLC",208590,2021-09-29,0.006500000000000001,2540626,GLO
"Advisor Group, Inc.",189472,2021-09-29,0.0059,2307768,GLO
Parametric Portfolio Associates,145808,2021-09-29,0.0045000000000000005,1775941,GLO
"Commonwealth Equity Services, LLC",123396,2021-09-29,0.0038,1502963,GLO
