Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",171681,2021-09-29,0.026600000000000002,1158846,CYTH
"Geode Capital Management, LLC",51454,2021-09-29,0.008,347314,CYTH
UBS Group AG,39914,2021-09-29,0.0062,269419,CYTH
State Street Corporation,29600,2021-09-29,0.0046,199800,CYTH
Blackrock Inc.,13134,2021-09-29,0.002,88654,CYTH
"Two Sigma Advisers, LP",12200,2021-09-29,0.0019,82350,CYTH
"Renaissance Technologies, LLC",10482,2021-09-29,0.0016,70753,CYTH
Tower Research Capital LLC (TRC),1154,2021-09-29,0.0002,7789,CYTH
Royal Bank of Canada,746,2021-09-29,0.0001,5035,CYTH
Morgan Stanley,503,2021-09-29,0.0001,3395,CYTH
