Holder,Shares,Date Reported,% Out,Value,ABV
Dimensional Fund Advisors LP,1600147,2021-09-29,0.0742,6416589,AWRE
"Punch & Associates Investment Management, Inc.",1074950,2021-09-29,0.0499,4310549,AWRE
"DG Capital Management, LLC",907047,2021-09-29,0.0421,3637258,AWRE
"Renaissance Technologies, LLC",858526,2021-09-29,0.0398,3442689,AWRE
"Vanguard Group, Inc. (The)",579979,2021-09-29,0.0269,2325715,AWRE
Blackrock Inc.,406915,2021-09-29,0.0189,1631729,AWRE
Spring Creek Capital LLC,214446,2021-09-29,0.009899999999999999,859928,AWRE
"Aristides Capital, LLC",135729,2021-09-29,0.0063,544273,AWRE
"Bridgeway Capital Management, Inc.",128783,2021-09-29,0.006,516419,AWRE
Essex Investment Management Co Inc,107548,2021-09-29,0.005,431267,AWRE
