Holder,Shares,Date Reported,% Out,Value,ABV
"Two Sigma Investments, LP",68688,2021-09-29,0.0017000000000000001,594838,FCUV
Virtu Financial LLC,42205,2021-09-29,0.001,365495,FCUV
"Geode Capital Management, LLC",20486,2021-09-29,0.0005,177408,FCUV
"Susquehanna Fundamental Investments, LLC",12960,2021-09-29,0.0003,112233,FCUV
Tower Research Capital LLC (TRC),9822,2021-09-29,0.0002,85058,FCUV
Barclays PLC,2828,2021-09-29,0.0001,24490,FCUV
UBS Group AG,2104,2021-09-29,0.0001,18220,FCUV
