Holder,Shares,Date Reported,% Out,Value,ABV
Magnetar Financial LLC,1485000,2021-09-29,0.099,14775750,MITAU
Calamos Advisors LLC,500000,2021-09-29,0.0333,4975000,MITAU
"Apollo Management Holdings, L.P.",495000,2021-09-29,0.033,4925250,MITAU
Periscope Capital Inc.,466302,2021-09-29,0.0311,4639704,MITAU
"Verition Fund Management, LLC",250000,2021-09-29,0.0167,2487500,MITAU
"Cowen Investment Management, LLC",250000,2021-09-29,0.0167,2487500,MITAU
Bank of America Corporation,125000,2021-09-29,0.0083,1243750,MITAU
Waratah Capital Advisors Ltd.,101288,2021-09-29,0.0068000000000000005,1007815,MITAU
"Rivernorth Capital Management, Llc",85000,2021-09-29,0.005699999999999999,845750,MITAU
"Sage Mountain Advisors, LLC",82843,2021-09-29,0.0055000000000000005,824287,MITAU
