Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,8815574,2021-09-29,0.051,199937218,SPWR
"Vanguard Group, Inc. (The)",8121745,2021-09-29,0.046900000000000004,184201176,SPWR
Invesco Ltd.,5102590,2021-09-29,0.029500000000000002,115726741,SPWR
"Shaw D.E. & Co., Inc.",3951337,2021-09-29,0.022799999999999997,89616323,SPWR
State Street Corporation,3598804,2021-09-29,0.0208,81620874,SPWR
"Federated Hermes, Inc.",3003545,2021-09-29,0.0174,68120400,SPWR
"Geode Capital Management, LLC",1456476,2021-09-29,0.0084,33032875,SPWR
First Trust Advisors Lp,1418003,2021-09-29,0.008199999999999999,32160308,SPWR
Citadel Advisors LLC,1208847,2021-09-29,0.006999999999999999,27416649,SPWR
"Two Sigma Investments, LP",1087277,2021-09-29,0.0063,24659442,SPWR
