Holder,Shares,Date Reported,% Out,Value,ABV
Herald Investment Management Ltd,5292857,2021-09-29,0.0446,3704470,INUV
"Perkins Capital Management, Inc.",4833527,2021-09-29,0.0407,3382985,INUV
"Vanguard Group, Inc. (The)",4177397,2021-09-29,0.0352,2923760,INUV
Blackrock Inc.,1262628,2021-09-29,0.0106,883713,INUV
"Geode Capital Management, LLC",715464,2021-09-29,0.006,500753,INUV
Bard Associates Inc.,681502,2021-09-29,0.005699999999999999,476983,INUV
"Bridgeway Capital Management, Inc.",306000,2021-09-29,0.0026,214169,INUV
State Street Corporation,283363,2021-09-29,0.0024,198325,INUV
Northern Trust Corporation,200907,2021-09-29,0.0017000000000000001,140614,INUV
Gsa Capital Partners Llp,175141,2021-09-29,0.0015,122581,INUV
