Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",4213270,2021-09-29,0.0271,25743079,CAN
"Toroso Investments, LLC",2437609,2021-09-29,0.015700000000000002,14893790,CAN
Invesco Ltd.,2087885,2021-09-29,0.013500000000000002,12756977,CAN
Blackrock Inc.,1753814,2021-09-29,0.0113,10715803,CAN
"Balyasny Asset Management, LP",1706212,2021-09-29,0.011000000000000001,10424955,CAN
Ariose Capital Management Ltd,1675952,2021-09-29,0.0108,10240066,CAN
Morgan Stanley,746629,2021-09-29,0.0048,4561903,CAN
"Susquehanna International Group, LLP",664503,2021-09-29,0.0043,4060113,CAN
State Street Corporation,653821,2021-09-29,0.0042,3994846,CAN
GMT Capital Corp,594484,2021-09-29,0.0038,3632297,CAN
