Holder,Shares,Date Reported,% Out,Value,ABV
"Renaissance Technologies, LLC",432168,2021-09-29,0.0458,1309469,BRN
"Geode Capital Management, LLC",98857,2021-09-29,0.0105,299536,BRN
Blackrock Inc.,68867,2021-09-29,0.0073,208667,BRN
"Vanguard Group, Inc. (The)",62082,2021-09-29,0.0066,188108,BRN
"Bridgeway Capital Management, Inc.",60000,2021-09-29,0.0064,181800,BRN
State Street Corporation,34377,2021-09-29,0.0036,104162,BRN
"Two Sigma Investments, LP",19332,2021-09-29,0.002,58575,BRN
Price (T.Rowe) Associates Inc,18200,2021-09-29,0.0019,55146,BRN
"Aristides Capital, LLC",10508,2021-09-29,0.0011,31839,BRN
Morgan Stanley,2547,2021-09-29,0.0003,7717,BRN
