Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,17164936,2021-09-29,0.1144,367672929,ASB
"Vanguard Group, Inc. (The)",14996913,2021-09-29,0.0999,321233876,ASB
State Street Corporation,10287689,2021-09-29,0.06860000000000001,220362298,ASB
Dimensional Fund Advisors LP,9820711,2021-09-29,0.0654,210359629,ASB
"FMR, LLC",8735656,2021-09-29,0.0582,187117751,ASB
Pzena Investment Management Llc,3477267,2021-09-29,0.0232,74483059,ASB
Lsv Asset Management,2725147,2021-12-30,0.0182,61561070,ASB
Associated Banc-Corp,2690649,2021-09-29,0.0179,57633701,ASB
Norges Bank Investment Management,2682666,2020-12-30,0.0179,45739455,ASB
Wells Fargo & Company,2679807,2021-09-29,0.0179,57401465,ASB
