Holder,Shares,Date Reported,% Out,Value,ABV
"Ikarian Capital, LLC",496756,2021-09-29,0.0592,1450527,BLCM
"Vanguard Group, Inc. (The)",430078,2021-09-29,0.0512,1255827,BLCM
"Baker Brothers Advisors, LLC",249123,2021-09-29,0.0297,727439,BLCM
"Geode Capital Management, LLC",76533,2021-09-29,0.0091,223476,BLCM
Blackrock Inc.,75088,2021-09-29,0.0089,219256,BLCM
"Boothbay Fund Management, LLC",49797,2021-09-29,0.0059,145407,BLCM
Citadel Advisors LLC,33252,2021-09-29,0.004,97095,BLCM
LPL Financial LLC,28548,2021-09-29,0.0034000000000000002,83360,BLCM
State Street Corporation,27245,2021-09-29,0.0032,79555,BLCM
Aju Ib Investment Company Limited,25651,2021-09-29,0.0031,74900,BLCM
