Holder,Shares,Date Reported,% Out,Value,ABV
"AWM Investment Company, Inc.",1878597,2021-09-29,0.0958,12173308,MRAM
"Vanguard Group, Inc. (The)",710676,2021-09-29,0.0362,4605180,MRAM
Mutual of America Capital Management LLC,327188,2021-09-29,0.0167,2120178,MRAM
"Needham Investment Management, L.L.C.",300000,2021-09-29,0.015300000000000001,1944000,MRAM
Herald Investment Management Ltd,255000,2021-09-29,0.013000000000000001,1652400,MRAM
"Renaissance Technologies, LLC",226906,2021-09-29,0.0116,1470350,MRAM
"Jacobs Levy Equity Management, Inc.",212956,2021-09-29,0.0109,1379954,MRAM
Royal Bank of Canada,199360,2021-09-29,0.0102,1291852,MRAM
Blackrock Inc.,177355,2021-09-29,0.009000000000000001,1149260,MRAM
UBS Group AG,172400,2021-09-29,0.0088,1117152,MRAM
