Holder,Shares,Date Reported,% Out,Value,ABV
RP Investment Advisors LP,1740728,2021-09-29,0.0757,16937283,LDHA
Adage Capital Partners GP L.L.C.,1200000,2021-09-29,0.052199999999999996,11676000,LDHA
Beryl Capital Management LLC,1128255,2021-09-29,0.049100000000000005,10977921,LDHA
Governors Lane LP,951900,2021-09-29,0.0414,9261987,LDHA
Macquarie Group Limited,720000,2021-09-29,0.0313,7005600,LDHA
Echo Street Capital Management LLC,540232,2021-09-29,0.0235,5256457,LDHA
UBS O'Connor LLC,501558,2021-09-29,0.0218,4880159,LDHA
"Ghisallo Capital Management, LLC",500000,2021-09-29,0.0217,4865000,LDHA
Sculptor Capital Lp,494730,2021-09-29,0.0215,4813722,LDHA
Atmos Capital Gestao de Recursos Ltda,400000,2021-09-29,0.0174,3892000,LDHA
