Holder,Shares,Date Reported,% Out,Value,ABV
"Oak Hill Advisors, L.P.",13035013,2021-09-29,0.045700000000000005,287291686,FSK
Kohlberg Kravis Roberts & Co. L.P.,12387026,2021-09-29,0.0435,273010053,FSK
"Commonwealth Equity Services, LLC",5352642,2021-09-29,0.018799999999999997,117972229,FSK
Beach Point Capital Management LP,4465811,2021-09-29,0.015700000000000002,98426474,FSK
LPL Financial LLC,2920176,2021-09-29,0.0102,64360679,FSK
Van Eck Associates Corporation,2690859,2021-09-29,0.009399999999999999,59306532,FSK
"Advisor Group, Inc.",2314529,2021-09-29,0.008100000000000001,51012219,FSK
Cambridge Investment Research Advisors Inc.,2233025,2021-09-29,0.0078000000000000005,49215871,FSK
Lsv Asset Management,1832900,2021-09-29,0.0064,40397116,FSK
Blackrock Inc.,1726449,2021-09-29,0.0060999999999999995,38050935,FSK
