Holder,Shares,Date Reported,% Out,Value,ABV
Sanders Morris Harris LLC,744804,2021-09-29,0.0319,18754164,CSWC
"Zuckerman Investment Group, LLC",611982,2021-09-29,0.0262,15409706,CSWC
"Punch & Associates Investment Management, Inc.",491334,2021-09-29,0.021099999999999997,12371790,CSWC
First Manhattan Company,452994,2021-09-29,0.0194,11406388,CSWC
"Sound Income Strategies, LLC",370810,2021-09-29,0.0159,9336995,CSWC
Van Eck Associates Corporation,334632,2021-09-29,0.0143,8426033,CSWC
"Two Sigma Advisers, LP",203900,2021-09-29,0.0087,5134202,CSWC
"Two Sigma Investments, LP",190508,2021-09-29,0.008199999999999999,4796991,CSWC
"Advisors Asset Management, Inc.",175212,2021-09-29,0.0075,4411838,CSWC
Blackrock Inc.,149306,2021-09-29,0.0064,3759525,CSWC
