Holder,Shares,Date Reported,% Out,Value,ABV
Capital World Investors,12620500,2021-09-29,0.1216,1466123485,NVCR
Capital International Investors,10556816,2021-09-29,0.1017,1226385314,NVCR
Baillie Gifford and Company,9369705,2021-09-29,0.09029999999999999,1088478629,NVCR
"FMR, LLC",8274887,2021-09-29,0.0797,961293622,NVCR
"Vanguard Group, Inc. (The)",7861860,2021-09-29,0.0757,913312276,NVCR
Blackrock Inc.,6723680,2021-09-29,0.06480000000000001,781089905,NVCR
State Street Corporation,2203547,2021-09-29,0.0212,255986054,NVCR
Price (T.Rowe) Associates Inc,1432467,2021-09-29,0.0138,166409691,NVCR
Credit Suisse AG,1384351,2021-09-29,0.013300000000000001,160820055,NVCR
"Geode Capital Management, LLC",1230466,2021-09-29,0.011899999999999999,142943235,NVCR
