Holder,Shares,Date Reported,% Out,Value,ABV
CI Investments Inc.,1213024,2021-09-29,0.060700000000000004,11948286,LDHAU
Velt Partners Investimentos Ltda.,1183482,2021-09-29,0.0592,11657297,LDHAU
"Tiger Global Management, LLC",960000,2021-09-29,0.048,9456000,LDHAU
Glazer Capital LLC,810381,2021-09-29,0.0405,7982252,LDHAU
"Silver Rock Financial, LP",552700,2021-09-29,0.0276,5444095,LDHAU
Manufacturers Life Insurance Co.,536241,2021-09-29,0.0268,5281973,LDHAU
Sage Rock Capital Management LP,463500,2021-09-29,0.0232,4565475,LDHAU
Millennium Management LLC,448917,2021-09-29,0.022400000000000003,4421832,LDHAU
Schonfeld Strategic Advisors LLC,410000,2021-09-29,0.020499999999999997,4038500,LDHAU
Verde Servicos Internacionais S.a.,400000,2021-09-29,0.02,3940000,LDHAU
