Holder,Shares,Date Reported,% Out,Value,ABV
"Susquehanna International Group, LLP",55395,2021-09-29,0.0038,88632,YVR
Morgan Stanley,51499,2021-09-29,0.0034999999999999996,82398,YVR
"Geode Capital Management, LLC",18693,2021-09-29,0.0013,29908,YVR
Banco BTG Pactual SA,15000,2021-09-29,0.001,24000,YVR
UBS Group AG,14499,2021-09-29,0.001,23198,YVR
"Renaissance Technologies, LLC",11800,2021-09-29,0.0008,18880,YVR
Barclays PLC,11599,2021-09-29,0.0008,18558,YVR
Cutler Group LP,4759,2021-09-29,0.0003,7614,YVR
Tower Research Capital LLC (TRC),1490,2021-09-29,0.0001,2384,YVR
"HHM Wealth Advisors, LLC",1000,2021-09-29,0.0001,1600,YVR
