Holder,Shares,Date Reported,% Out,Value,ABV
"Greenhaven Road Investment Management, L.p.",682020,2021-09-29,0.0911,7522680,AEYE
Cannell Capital LLC,446623,2021-09-29,0.0596,4926251,AEYE
"Vanguard Group, Inc. (The)",249160,2021-09-29,0.0333,2748234,AEYE
Morgan Stanley,88665,2021-09-29,0.0118,977974,AEYE
Millennium Management LLC,71911,2021-09-29,0.0096,793178,AEYE
Creative Planning,69572,2021-09-29,0.009300000000000001,767379,AEYE
Marshall Wace LLP,66122,2021-09-29,0.0088,729325,AEYE
Anchor Capital Advisors LLC,57205,2021-09-29,0.0076,630971,AEYE
Royce & Associates LP,50000,2021-09-29,0.0067,551500,AEYE
"Geode Capital Management, LLC",49191,2021-09-29,0.0066,542576,AEYE
