Holder,Shares,Date Reported,% Out,Value,ABV
"Adams Street Partners, LLC",23565433,2021-09-29,0.2711,227406428,RMNI
"FMR, LLC",3318270,2021-09-29,0.0382,32021305,RMNI
"Voss Capital, LLC",2870000,2021-09-29,0.033,27695500,RMNI
Blackrock Inc.,2393967,2021-09-29,0.0275,23101781,RMNI
"Wellington Management Group, LLP",1905900,2021-09-29,0.0219,18391935,RMNI
"Vanguard Group, Inc. (The)",1833529,2021-09-29,0.021099999999999997,17693554,RMNI
"Pacific Ridge Capital Partners, LLC",1452461,2021-09-29,0.0167,14016248,RMNI
"Anomaly Capital Management, LP",1200194,2021-09-29,0.0138,11581872,RMNI
"Conifer Management, L.L.C.",1198845,2021-09-29,0.0138,11568854,RMNI
Lord Abbett & Co,1127673,2021-09-29,0.013000000000000001,10882044,RMNI
