Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",925579,2021-09-29,0.031400000000000004,5053661,SACH
Bard Associates Inc.,616150,2021-09-29,0.0209,3364179,SACH
"Renaissance Technologies, LLC",436176,2021-09-29,0.0148,2381520,SACH
Blackrock Inc.,433038,2021-09-29,0.0147,2364387,SACH
"Two Sigma Advisers, LP",374900,2021-09-29,0.0127,2046954,SACH
"Two Sigma Investments, LP",312045,2021-09-29,0.0106,1703765,SACH
"Geode Capital Management, LLC",219711,2021-09-29,0.0075,1199622,SACH
State Street Corporation,103687,2021-09-29,0.0034999999999999996,566131,SACH
Ahrens Investment Partners LLC,91500,2021-12-30,0.0031,534360,SACH
Virtu Financial LLC,88162,2021-09-29,0.003,481364,SACH
