Holder,Shares,Date Reported,% Out,Value,ABV
Tybourne Capital Management (HK) Limited,4957302,2021-09-29,0.1416,52299536,TPGY
"Light Street Capital Management, LLC",4125702,2021-09-29,0.11789999999999999,43526156,TPGY
"Moore Capital Management, LP",3140816,2021-09-29,0.0897,33135608,TPGY
Ashford Capital Management Inc.,1297040,2021-09-29,0.0371,13683772,TPGY
"Times Square Capital Management, LLC",1239100,2021-09-29,0.0354,13072505,TPGY
Public Sector Pension Investment Board,750000,2021-09-29,0.021400000000000002,7912500,TPGY
Covalis Capital LLP,655852,2021-09-29,0.0187,6919238,TPGY
"Third Point, LLC",540000,2021-09-29,0.0154,5697000,TPGY
"Yaupon Capital Management, LP",456106,2021-09-29,0.013000000000000001,4811918,TPGY
"Shaw D.E. & Co., Inc.",368060,2021-09-29,0.0105,3883033,TPGY
