Holder,Shares,Date Reported,% Out,Value,ABV
"Highbridge Capital Management, LLC.",1974826,2021-09-29,0.0848,19511280,GACQ
Polar Asset Management Partners Inc.,1680000,2021-09-29,0.0722,16598400,GACQ
"Boothbay Fund Management, LLC",1680000,2021-09-29,0.0722,16598400,GACQ
ATW Spac Management LLC,1680000,2021-09-29,0.0722,16598400,GACQ
Karpus Management Inc,1264525,2021-09-29,0.054299999999999994,12493507,GACQ
Shaolin Capital Management LLC,874879,2021-09-29,0.037599999999999995,8643804,GACQ
Mizuho Securities USA LLC,811570,2021-09-29,0.0349,8018311,GACQ
Berkley W R Corp,736007,2021-09-29,0.0316,7271749,GACQ
"Cohanzick Management, LLC",660074,2021-09-29,0.028399999999999998,6521531,GACQ
"Shaw D.E. & Co., Inc.",560000,2021-09-29,0.0241,5532800,GACQ
