Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",34575587,2021-09-29,0.0971,2903312040,DHI
Blackrock Inc.,34085700,2021-09-29,0.09570000000000001,2862176229,DHI
State Street Corporation,14981036,2021-09-29,0.0421,1257957592,DHI
"Sanders Capital, Llc",13403792,2021-09-29,0.037599999999999995,1125516414,DHI
"FMR, LLC",12673750,2021-09-29,0.0356,1064214787,DHI
Egerton Capital (UK) LLP,8599952,2021-09-29,0.0241,722137969,DHI
Bank of America Corporation,6271754,2021-09-29,0.0176,526639183,DHI
"Geode Capital Management, LLC",6182068,2021-09-29,0.0174,519108249,DHI
Wells Fargo & Company,6007637,2021-09-29,0.0169,504461278,DHI
Dimensional Fund Advisors LP,5916432,2021-09-29,0.0166,496802795,DHI
