Holder,Shares,Date Reported,% Out,Value,ABV
Citadel Advisors LLC,5531949,2021-09-29,0.0802,54987573,AUS
Weiss Asset Management LP,3319180,2021-09-29,0.0481,32992649,AUS
Hsbc Holdings Plc,2750406,2021-09-29,0.039900000000000005,27339035,AUS
Farallon Capital Management Llc,2456887,2021-09-29,0.0356,24421456,AUS
Governors Lane LP,2017573,2021-09-29,0.0292,20054675,AUS
Nomura Holdings Inc.,1865553,2021-09-29,0.027000000000000003,18543596,AUS
Glazer Capital LLC,1593041,2021-09-29,0.0231,15834827,AUS
Millennium Management LLC,1532198,2021-09-29,0.0222,15230048,AUS
"Empyrean Capital Partners, LP",1500000,2021-09-29,0.0217,14910000,AUS
"Nitorum Capital, L.P.",1330300,2021-09-29,0.019299999999999998,13223182,AUS
