Holder,Shares,Date Reported,% Out,Value,ABV
Glazer Capital LLC,2871922,2021-09-29,0.09570000000000001,28776658,CHPM
Millennium Management LLC,1786047,2021-09-29,0.059500000000000004,17896190,CHPM
"Ratan Capital Management, LP",1674997,2021-09-29,0.0558,16783469,CHPM
"Aristeia Capital, LLC",1538182,2021-09-29,0.0513,15412583,CHPM
"Highbridge Capital Management, LLC.",1354613,2021-09-29,0.0452,13573222,CHPM
Linden Advisors LP,1299776,2021-09-29,0.0433,13023755,CHPM
Mint Tower Capital Management B.V.,1166828,2021-09-29,0.038900000000000004,11691616,CHPM
Periscope Capital Inc.,1157200,2021-09-29,0.038599999999999995,11595144,CHPM
Berkley W R Corp,1076395,2021-09-29,0.0359,10785477,CHPM
"Tenor Capital Management Co., L.p.",750000,2021-09-29,0.025,7515000,CHPM
