Holder,Shares,Date Reported,% Out,Value,ABV
Allianz Asset Management GmbH,382795,2021-12-30,0.1024,794448915,AVGOP
Blackrock Inc.,338033,2021-12-30,0.0904,701550307,AVGOP
"Franklin Resources, Inc.",152116,2021-12-30,0.0407,315700025,AVGOP
Sculptor Capital Lp,107220,2021-12-30,0.0287,222523315,AVGOP
Calamos Advisors LLC,81590,2021-12-30,0.0218,169331070,AVGOP
"Wolverine Asset Management, LLC",66758,2021-12-30,0.0179,138548885,AVGOP
Lord Abbett & Co,66055,2021-12-30,0.0177,137089886,AVGOP
Van Eck Associates Corporation,47930,2021-12-30,0.0128,99473442,AVGOP
"SG Americas Securities, LLC",47839,2021-12-30,0.0128,99284582,AVGOP
Hsbc Holdings Plc,36250,2021-12-30,0.0097,75232887,AVGOP
