Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",14980749,2021-09-29,0.0305,1205500872,ALC
"Aristotle Capital Management, LLC",14979873,2021-09-29,0.0305,1205430380,ALC
"ClearBridge Investments, LLC",12302010,2021-12-30,0.025,1071751111,ALC
Price (T.Rowe) Associates Inc,12194117,2021-09-29,0.0248,981260594,ALC
Credit Suisse AG,12173619,2021-09-29,0.0248,979611120,ALC
Norges Bank Investment Management,11202279,2020-12-30,0.022799999999999997,739126368,ALC
"WCM Investment Management, LLC",6604219,2021-12-30,0.0134,575359559,ALC
Schroder Investment Management Group,5758600,2021-09-29,0.011699999999999999,463394542,ALC
Brown Brothers Harriman & Co,5583470,2021-09-29,0.011399999999999999,449301830,ALC
Wells Fargo & Company,5511352,2021-09-29,0.011200000000000002,443498495,ALC
