Holder,Shares,Date Reported,% Out,Value,ABV
Virtu Financial LLC,18906,2021-09-29,0.0043,118918,WAFU
"Susquehanna International Group, LLP",18456,2021-09-29,0.0042,116088,WAFU
"Renaissance Technologies, LLC",17800,2021-09-29,0.004,111962,WAFU
