Holder,Shares,Date Reported,% Out,Value,ABV
"Mirae Asset Global Investments Co., Ltd.",1258025,2021-09-29,0.06280000000000001,28091698,OMP
Morgan Stanley,465462,2021-09-29,0.0232,10393766,OMP
JP Morgan Chase & Company,408961,2021-09-29,0.0204,9132099,OMP
Bank of America Corporation,259490,2021-09-29,0.0129,5794411,OMP
"Cushing Asset Management, LP",250000,2021-09-29,0.0125,5582500,OMP
Citigroup Inc.,195809,2021-09-29,0.0098,4372414,OMP
"Arrowstreet Capital, Limited Partnership",179322,2021-09-29,0.0089,4004260,OMP
Nbw Capital Llc,168564,2021-09-29,0.0084,3764034,OMP
Eagle Global Advisors LLC,166280,2021-09-29,0.0083,3713032,OMP
Blackstone Inc,118126,2021-09-29,0.0059,2637753,OMP
