Holder,Shares,Date Reported,% Out,Value,ABV
Avoro Capital Advisors LLC,3650000,2021-09-29,0.0708,55772000,XENE
"FMR, LLC",3056756,2021-09-29,0.0593,46707231,XENE
Perceptive Advisors Llc,2022051,2021-09-29,0.0392,30896939,XENE
BVF Inc.,1571778,2021-09-29,0.0305,24016767,XENE
"Driehaus Capital Management, LLC",1511543,2021-09-29,0.029300000000000003,23096377,XENE
Adage Capital Partners GP L.L.C.,1175000,2021-09-29,0.022799999999999997,17954000,XENE
"Suvretta Capital Management, LLC",1158961,2021-09-29,0.0225,17708924,XENE
"Point72 Asset Management, L.P.",1077800,2021-09-29,0.0209,16468784,XENE
Capital International Investors,1055726,2021-09-29,0.020499999999999997,16131493,XENE
"NEA Management Company, LLC",992107,2021-09-29,0.0192,15159394,XENE
