Holder,Shares,Date Reported,% Out,Value,ABV
Stilwell Value LLC,243606,2021-09-29,0.09910000000000001,2789288,GBNY
"M3F, Inc.",240816,2021-09-29,0.098,2757343,GBNY
"AllianceBernstein, L.P.",196665,2021-09-29,0.08,2251814,GBNY
FJ Capital Management LLC,92000,2021-09-29,0.0374,1053400,GBNY
"Punch & Associates Investment Management, Inc.",72800,2021-09-29,0.0296,833560,GBNY
First Manhattan Company,30064,2021-09-29,0.012199999999999999,344232,GBNY
"Prentice Wealth Management, LLC",5000,2021-09-29,0.002,57250,GBNY
Corsicana & Co.,1400,2021-09-29,0.0006,16030,GBNY
Morgan Stanley,1013,2021-09-29,0.0004,11598,GBNY
"Advisor Group, Inc.",907,2021-09-29,0.0004,10385,GBNY
