Holder,Shares,Date Reported,% Out,Value,ABV
Bank of America Corporation,3233322,2021-09-29,0.0301,34952210,ETW
"Raymond James & Associates, Inc.",1934380,2021-09-29,0.018000000000000002,20910647,ETW
Morgan Stanley,1577134,2021-09-29,0.0147,17048818,ETW
Invesco Ltd.,1136236,2021-09-29,0.0106,12282711,ETW
"Guggenheim Capital, LLC",1077243,2021-09-29,0.01,11644996,ETW
Cambridge Investment Research Advisors Inc.,736560,2021-09-29,0.0069,7962213,ETW
"Baird Financial Group, Inc.",704475,2021-09-29,0.0066,7615374,ETW
"Commonwealth Equity Services, LLC",691609,2021-09-29,0.0064,7476293,ETW
Royal Bank of Canada,670720,2021-09-29,0.0062,7250483,ETW
"Ameriprise Financial, Inc.",520265,2021-09-29,0.0048,5624064,ETW
