Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",34065975,2021-09-29,0.1032,826781213,DISCK
Blackrock Inc.,24128480,2021-09-29,0.0731,585598209,DISCK
"Hotchkis & Wiley Capital Management, LLC",22206104,2021-09-29,0.0673,538942144,DISCK
State Street Corporation,20207399,2021-09-29,0.061200000000000004,490433573,DISCK
Southeastern Asset Management Inc/tn/,10451012,2021-09-29,0.0317,253646061,DISCK
"FMR, LLC",9422833,2021-09-29,0.0285,228692156,DISCK
"Susquehanna International Group, LLP",7675265,2021-09-29,0.0232,186278681,DISCK
"Geode Capital Management, LLC",5597896,2021-09-29,0.017,135860935,DISCK
Massachusetts Financial Services Co.,5302832,2021-09-29,0.0161,128699732,DISCK
Wisconsin (State Of) Investment Board,4875895,2021-09-29,0.0148,118337971,DISCK
