Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",1713828,2021-09-29,0.0406,2964922,NDRA
GWM Advisors LLC,705347,2021-09-29,0.0167,1220250,NDRA
"Geode Capital Management, LLC",323679,2021-09-29,0.0077,559964,NDRA
Morgan Stanley,232312,2021-09-29,0.0055000000000000005,401899,NDRA
Blackrock Inc.,103802,2021-09-29,0.0025,179577,NDRA
State Street Corporation,96500,2021-09-29,0.0023,166945,NDRA
"551, LLC",88850,2021-09-29,0.0021,153710,NDRA
Northern Trust Corporation,63378,2021-09-29,0.0015,109643,NDRA
"Advisor Group, Inc.",44037,2021-09-29,0.001,76184,NDRA
"Blair (William) & Company, L.L.C.",35000,2021-09-29,0.0008,60550,NDRA
